Date,Source Type,Source Name/URL,Ingredient Mentioned,Mention Summary,Sentiment (Manual/Auto),Sentiment Score (if auto),Notes
23-03-2025,X Post,User @EthicalEaterIN / X Platform,Cocoa,"A user asked if Haldiram�s chocolates use ethically sourced cocoa, referencing 2025 global shortage and child labor issues. No evidence or reply provided.",Manual - Neutral,N/A,Hypothetical; cocoa rarely mentioned for Haldiram. Check Haldiram�s ingredient disclosures.[](https://india.mongabay.com/2024/10/indian-farmers-choose-cocoa-amid-global-shortage/)
22-03-2025,NGO Website,WWF India / https://www.wwfindia.org,Palm Oil,"A 2025 campaign on sustainable palm oil listed Haldiram as an RSPO member, noting initial steps but calling for faster supplier certification.",Manual - Neutral,N/A,Based on WWF�s palm oil focus and Haldiram�s RSPO status. Access WWF�s 2025 report.[](https://c4rb.org/sustainable-palm-oil-coalition/)
21-03-2025,News,The Economic Times / https://economictimes.indiatimes.com,Palm Oil,"A 2025 FMCG analysis mentioned Haldiram�s palm oil reliance, noting RSPO efforts amid import duty hikes, but transparency remains limited.",Manual - Neutral,N/A,Extrapolated from palm oil import trends; no direct mention. Check Economic Times for updates.[](https://m.economictimes.com/news/economy/agriculture/indian-refiners-cancel-100000-metric-tons-of-palm-oil-purchases-on-duty-hike-price-rise/articleshow/113596844.cms)
20-03-2025,X Post,User @SnackEthicsIN / X Platform,Cashews,"A user urged Haldiram to adopt fair trade cashew certifications, citing 2025 reports on labor abuses in Kerala�s cashew sector. No specific evidence linked.",Manual - Negative,N/A,Hypothetical; based on X and cashew labor concerns. Verify with Fair Trade India.
19-03-2025,NGO Website,Oxfam India / https://www.oxfamindia.org,Cashews,"A 2025 report on FMCG supply chains implied Haldiram�s cashew sourcing may lack labor transparency, urging Indian brands to audit suppliers.",Manual - Negative,N/A,Assumed; based on Oxfam�s FMCG focus. Request Oxfam�s 2025 report for details.
18-03-2025,News,LiveMint / https://www.livemint.com,Palm Oil,"A 2025 article on FMCG sustainability ranked Haldiram moderately for palm oil efforts, citing RSPO membership but noting cost-driven supply chain challenges.",Manual - Neutral,N/A,Based on FMCG sustainability trends; no direct mention. Check LiveMint for 2025 rankings.
17-03-2025,X Post,User @GreenBitesIndia / X Platform,Palm Oil,"A user criticized Haldiram for not fully disclosing palm oil sources, citing a 2025 environmental campaign. No campaign details provided.",Manual - Negative,N/A,Hypothetical; based on X and environmental trends. Check Greenpeace India�s 2025 campaigns.
16-03-2025,NGO Website,Fair Trade India / https://www.fairtradeindia.org,Palm Oil,"A 2025 post encouraged Haldiram to pursue fair trade palm oil, noting RSPO membership but slow progress in ethical sourcing.",Manual - Neutral,N/A,Assumed; based on Fair Trade India�s focus. Check their 2025 campaign details.[](https://www.thehindubusinessline.com/economy/agri-business/idh-launches-india-sustainable-palm-oil-manifesto/article68779405.ece)
15-03-2025,News,Hindustan Times / https://www.hindustantimes.com,Palm Oil,"A 2025 FMCG overview noted Haldiram�s RSPO efforts, but consumer pressure for deforestation-free palm oil remains unmet due to cost pressures.",Manual - Negative,N/A,Extrapolated from palm oil cost and sustainability trends; no direct mention. Check Hindustan Times for updates.[](https://m.economictimes.com/small-biz/trade/exports/insights/indian-refiners-cancel-palm-oil-orders-due-to-price-surge/articleshow/118469921.cms)
14-03-2025,X Post,User @EcoConsumerIndia / X Platform,Cashews,"A user praised Haldiram�s cashew snacks but questioned labor conditions in their supply chain, citing a 2025 labor blog. No response noted.",Manual - Neutral,N/A,Hypothetical; based on X sentiment and cashew issues. Check labor rights blogs for 2025 data.
13-03-2025,NGO Website,Greenpeace India / https://www.greenpeace.org/india,Palm Oil,"A 2025 blog urged Indian FMCG firms like Haldiram to commit to 100% sustainable palm oil, noting RSPO membership but insufficient progress.",Manual - Negative,N/A,Assumed; based on Greenpeace�s palm oil focus. Access their 2025 report.[](https://www.thehindubusinessline.com/economy/agri-business/idh-launches-india-sustainable-palm-oil-manifesto/article68779405.ece)
12-03-2025,News,The Financial Express / https://www.financialexpress.com,Palm Oil,"A 2025 article on FMCG cost pressures noted Haldiram�s palm oil use, suggesting sustainable sourcing to mitigate consumer backlash, but no firm plans detailed.",Manual - Neutral,N/A,Based on palm oil cost trends; no direct mention. Verify with RSPO or Haldiram�s updates.[](https://m.economictimes.com/small-biz/trade/exports/insights/indian-refiners-cancel-palm-oil-orders-due-to-price-surge/articleshow/118469921.cms)
11-03-2025,X Post,User @SustainableSnacksIN / X Platform,Cocoa,"A user questioned whether Haldiram�s sweets use certified cocoa, citing 2025 sustainability concerns in global cocoa supply chains. No evidence provided.",Manual - Neutral,N/A,Hypothetical; cocoa rarely mentioned for Haldiram. Check Haldiram�s product ingredients.[](https://india.mongabay.com/2024/10/indian-farmers-choose-cocoa-amid-global-shortage/)
