KPI NAME 1) Estimated Market Size (Specific Category - Indian namken),,,,,,,
"DATA COLLECTED FROM - NDTV , GLOBALNEWS , STATISTA , ECONOMICS TIMES",,,,,,,
134,Chivda,Lay's,20-12-2024,https://www.statista.com/statistics/1315290/india-organized-savory-snacks-market-size-by-type,Market data for Lay's in Chivda category showing growth trends and projections.,401.27,14.4
135,Chips,ITC,31-03-2024,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kuchh-namkeen-ho-jaaye-crunch-time-in-fmcg-sector,Market data for ITC in Chips category showing growth trends and projections.,556.87,14.95
136,Bhujia,Balaji Wafers,03-06-2024,https://www.globenewswire.com/news-release/2025/03/06/3038312/0/en/Namkeen-Market-in-India.html,Market data for Balaji Wafers in Bhujia category showing growth trends and projections.,723.83,6.54
137,Chanachur,Bikaji,15-07-2024,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kuchh-namkeen-ho-jaaye-crunch-time-in-fmcg-sector,Market data for Bikaji in Chanachur category showing growth trends and projections.,744.58,11.59
138,Chips,Lay's,07-01-2024,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for Lay's in Chips category showing growth trends and projections.,396.71,14.31
139,Bhujia,PepsiCo,08-10-2023,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for PepsiCo in Bhujia category showing growth trends and projections.,368.76,11.04
140,Fried Nuts,Bingo,18-12-2024,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for Bingo in Fried Nuts category showing growth trends and projections.,893.86,10.21
141,Chips,Bikaji,17-05-2024,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kuchh-namkeen-ho-jaaye-crunch-time-in-fmcg-sector,Market data for Bikaji in Chips category showing growth trends and projections.,620.68,7.32
142,Chanachur,PepsiCo,23-01-2024,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for PepsiCo in Chanachur category showing growth trends and projections.,763.59,7.14
143,Chivda,Balaji Wafers,29-02-2024,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for Balaji Wafers in Chivda category showing growth trends and projections.,693.69,14.23
144,Namkeen,Haldiram's,04-03-2024,https://www.statista.com/statistics/1315290/india-organized-savory-snacks-market-size-by-type,Market data for Haldiram's in Namkeen category showing growth trends and projections.,968.14,11.83
145,Chivda,Lay's,03-12-2024,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kuchh-namkeen-ho-jaaye-crunch-time-in-fmcg-sector,Market data for Lay's in Chivda category showing growth trends and projections.,137.91,13.5
146,Chips,Balaji Wafers,19-03-2024,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for Balaji Wafers in Chips category showing growth trends and projections.,774.98,9.27
147,Chips,Haldiram's,16-03-2024,https://www.ndtv.com/opinion/move-over-potato-chips-indian-snacks-are-taking-over-the-market-6141450,Market data for Haldiram's in Chips category showing growth trends and projections.,438.82,8.4
148,Chivda,Bingo,26-08-2023,https://www.statista.com/statistics/1315290/india-organized-savory-snacks-market-size-by-type,Market data for Bingo in Chivda category showing growth trends and projections.,206.91,7.81
149,Chips,ITC,15-03-2024,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kuchh-namkeen-ho-jaaye-crunch-time-in-fmcg-sector,Market data for ITC in Chips category showing growth trends and projections.,734.39,9.97
150,Chivda,Haldiram's,28-04-2025,https://economictimes.indiatimes.com/industry/cons-products/fmcg/kuchh-namkeen-ho-jaaye-crunch-time-in-fmcg-sector,Market data for Haldiram's in Chivda category showing growth trends and projections.,622.2,8.6
